Title,Published_date,Views,Comments,Month
BS 19. Painter's Partition and Split Array - Largest Sum,2023-07-12,6496,44,Jul
Update on A2Z DSA course!,2023-07-05,19507,56,Jul
BS-18. Allocate Books or Book Allocation | Hard Binary Search,2023-06-27,16481,107,Jun
BS-17. Aggressive Cows | Binary Search Hard,2023-06-27,10197,45,Jun
BS-16. Kth Missing Positive Number | Maths + Binary Search,2023-06-23,10826,63,Jun
BS-15. Capacity to Ship Packages within D Days,2023-06-23,6349,42,Jun
BS-14. Find the Smallest Divisor Given a Threshold | Binary Search,2023-06-22,5376,41,Jun
BS-13. Minimum days to make M bouquets | Binary Search,2023-06-22,6922,37,Jun
BS-12. Koko Eating Bananas,2023-06-21,10861,58,Jun
BS-11. Find the Nth root of an Integer,2023-06-21,6880,45,Jun
BS-10. Finding Sqrt of a number using Binary Search,2023-06-20,8548,48,Jun
BS-9. Find Peak Element,2023-06-20,10540,74,Jun
Striver's SDE SHEET CHALLENGE 2023 | 2.25L Worth Prizes | Sheet for Interviews,2023-06-04,83108,236,Jun
BS-8. Single Element in Sorted Array,2023-06-01,18606,123,Jun
BS-7. Find out how many times array has been rotated,2023-06-01,10267,40,Jun
BS-6. Minimum in Rotated Sorted Array,2023-06-01,11868,76,Jun
BS-5. Search Element in Rotated Sorted Array II,2023-06-01,11390,80,Jun
BS-4. Search Element in Rotated Sorted Array - I,2023-06-01,18554,92,Jun
BS-3. First and Last Occurrences in Array | Count occurrences in Array,2023-06-01,15259,74,Jun
BS-2. Implement Lower Bound and Upper Bound | Search Insert Position | Floor and Ceil,2023-06-01,20611,106,Jun
BS-1. Binary Search Introduction | Real Life Example | Iterative | Recursive | Overflow Cases,2023-06-01,26064,100,Jun
"Launching Binary Search Bootcamp - C++, Java, Python, Notes, Contest, Doubt Support 🔥",2023-05-17,69636,1790,May
Maximum Product Subarray - Best Intuitive Approach Discussed,2023-05-10,32418,105,May
Reverse Pairs | Hard Interview Question,2023-05-08,18158,72,May
Count Inversions in an Array | Brute and Optimal,2023-05-08,24940,59,May
✅ way to showcase projects in an Tech Interview 💪,2023-05-04,30547,15,May
❌ do this in a DSA interview without asking!,2023-05-02,74633,29,May
Find the Missing and Repeating Number | 4 Approaches 🔥,2023-04-29,19147,87,Apr
Hear it out this till the END !!,2023-04-28,96116,55,Apr
Merge Sorted Arrays Without Extra Space | 2 Optimal Solution,2023-04-27,24612,86,Apr
"Merge Overlapping Intervals | Brute, Optimal with Precise TC analysis",2023-04-25,19825,65,Apr
Number of Subarrays with xor K | Brute - Better - Optimal,2023-04-25,15505,57,Apr
Dark mode extension for all websites.,2023-04-19,15369,17,Apr
4 Sum | Brute - Better - Optimal with Codes,2023-04-18,25055,110,Apr
Github trick every Software Engineer should know about!,2023-04-17,31155,23,Apr
3 Sum | Brute -  Better - Optimal with Codes,2023-04-17,37994,109,Apr
This Leetcode's feature is a scam ❌,2023-04-15,60400,48,Apr
Majority Element II | Brute-Better-Optimal,2023-04-14,21503,87,Apr
1 Crore Salary != Good Software Engineer,2023-04-13,60920,42,Apr
ChatGPT trick for converting codes in your language for Interview Preparation,2023-04-07,56869,34,Apr
Pascal Triangle | Finding nCr in minimal time,2023-04-05,35756,102,Apr
Leetcode Extension to see Company Tags | Interview Preparation,2023-04-05,32952,34,Apr
Count Subarray sum Equals K | Brute - Better -Optimal,2023-04-03,32424,85,Apr
Spiral Traversal of a Matrix | Spiral Matrix,2023-04-02,33482,96,Apr
Rotate Matrix/Image by 90 Degrees | Brute - Optimal,2023-03-30,28867,81,Mar
Set Matrix Zeroes | O(1) Space Approach | Brute - Better - Optimal,2023-03-28,56071,151,Mar
Longest Consecutive Sequence | Google Interview Question | Brute Better Optimal,2023-03-27,35160,123,Mar
Codestudio Weekend Contest 66 Editorial | Live Problem Solving | Striver,2023-03-25,8875,12,Mar
Leaders in an Array | Brute - Optimal | Strivers A2Z DSA Course,2023-03-24,20828,124,Mar
Next Permutation - Intuition in Detail 🔥 | Brute to Optimal,2023-03-23,55861,194,Mar
Rearrange Array Elements by Sign | 2 Varieties of same Problem,2023-03-18,29985,139,Mar
Kadane's Algorithm | Maximum Subarray Sum | Finding and Printing,2023-03-17,56532,151,Mar
Majority Element in an Array | Moore's Voting Algorithm | Intuition 🔥 | Brute to Optimal,2023-03-16,40044,213,Mar
Sort an array of 0's 1's & 2's | Intuition of Algo🔥 | C++ Java Python | Brute-Better-Optimal,2023-03-15,47466,277,Mar
2 Sum Problem | 2 types of the same problem for Interviews | Brute-Better-Optimal,2023-03-14,47819,148,Mar
Longest Subarray with sum K | Brute - Better - Optimal | Generate Subarrays,2023-03-13,77584,201,Mar
Codestudio Weekend Contest 64 Editorial | Live Problem Solving | Striver,2023-03-12,14773,9,Mar
Find element that appears once | Find missing number | Max Consecutive number of 1's | Arrays Part-3,2023-03-10,47973,183,Mar
"Rotate Array by K places | Union, Intersection of Sorted Arrays | Move Zeros to End | Arrays Part-2",2023-03-05,100137,290,Mar
Find Second Largest Element in Array | Remove duplicates from Sorted Array | Arrays Intro Video,2023-03-01,156823,262,Mar
Quick Sort For Beginners | Strivers A2Z DSA Course,2023-02-27,58748,146,Feb
Merge Sort | Algorithm | Pseudocode | Dry Run | Code | Strivers A2Z DSA Course,2023-02-08,87735,334,Feb
"Sorting - Part 1 | Selection Sort, Bubble Sort, Insertion Sort | Strivers A2Z DSA Course",2023-01-29,75030,307,Jan
Hashing | Maps | Time Complexity | Collisions | Division Rule of Hashing | Strivers A2Z DSA Course,2023-01-20,112056,340,Jan
Basic Maths for DSA | Euclidean Algorithm | Strivers A2Z DSA Course,2023-01-08,108303,280,Jan
Solve any Pattern Question - Trick Explained | 22 Patterns in 1 Shot | Strivers A2Z DSA Course,2023-01-02,206054,445,Jan
Time and Space Complexity - Strivers A2Z DSA Course,2022-12-31,116551,1083,Dec
C++ Basics in One Shot - Strivers A2Z DSA Course - L1,2022-12-19,334690,461,Dec
G-56. Articulation Point in Graph,2022-11-22,31316,139,Nov
G-55. Bridges in Graph - Using Tarjan's Algorithm of time in and low time,2022-11-22,36581,101,Nov
G-54. Strongly Connected Components - Kosaraju's Algorithm,2022-11-22,37258,90,Nov
G-53. Most Stones Removed with Same Row or Column - DSU,2022-10-23,39306,139,Oct
G-52. Making a Large Island - DSU,2022-10-22,23592,125,Oct
G-51. Number of Islands - II - Online Queries - DSU,2022-10-22,26052,94,Oct
G-50. Accounts Merge - DSU,2022-10-22,29222,115,Oct
G-49. Number of Operations to Make Network Connected - DSU,2022-10-22,26514,92,Oct
G-47. Kruskal's Algorithm - Minimum Spanning Tree - C++ and Java,2022-10-22,47388,96,Oct
G-48. Number of Provinces - Disjoint Set,2022-10-22,24506,65,Oct
G-46. Disjoint Set | Union by Rank | Union by Size | Path Compression,2022-10-22,76439,191,Oct
G-43. Find the City With the Smallest Number of Neighbours at a Threshold Distance,2022-10-22,25899,107,Oct
G-45. Prim's Algorithm - Minimum Spanning Tree - C++ and Java,2022-10-10,72106,503,Oct
G-44. Minimum Spanning Tree - Theory,2022-10-10,34384,60,Oct
G-42. Floyd Warshall Algorithm,2022-10-10,61678,142,Oct
G-41. Bellman Ford Algorithm,2022-10-10,62219,174,Oct
G-40. Number of Ways to Arrive at Destination,2022-10-02,40563,218,Oct
G-39. Minimum Multiplications to Reach End,2022-10-02,29731,180,Oct
G-38. Cheapest Flights Within K Stops,2022-10-02,51487,184,Oct
G-37. Path With Minimum Effort,2022-10-02,43079,131,Oct
G-36. Shortest Distance in a Binary Maze,2022-10-02,47929,181,Oct
G-35. Print Shortest Path - Dijkstra's Algorithm,2022-10-02,54158,124,Oct
"G-34. Dijkstra's Algorithm - Why PQ and not Q, Intuition, Time Complexity Derivation - Part 3",2022-09-28,40892,177,Sep
G-33. Dijkstra's Algorithm - Using Set - Part 2,2022-09-28,43985,127,Sep
G-32. Dijkstra's Algorithm - Using Priority Queue - C++ and Java - Part 1,2022-09-28,102637,160,Sep
G-31. Word Ladder - 2 | Optimised Approach for Leetcode,2022-09-10,31214,99,Sep
G-30. Word Ladder - 2 | Shortest Paths,2022-09-10,43131,130,Sep
G-29. Word Ladder - I | Shortest Paths,2022-09-10,58238,168,Sep
G-28. Shortest Path in Undirected Graph with Unit Weights,2022-09-10,51037,114,Sep
G-27. Shortest Path in Directed Acyclic Graph - Topological Sort,2022-09-10,70423,229,Sep
G-26. Alien Dictionary - Topological Sort,2022-09-10,56498,144,Sep
G-25. Find Eventual Safe States - BFS - Topological Sort,2022-09-05,47903,109,Sep
G-24. Course Schedule I and II | Pre-requisite Tasks | Topological Sort,2022-09-05,65635,160,Sep
G-23. Detect a Cycle in Directed Graph | Topological Sort | Kahn's Algorithm | BFS,2022-09-05,56219,92,Sep
G-22. Kahn's Algorithm | Topological Sort Algorithm | BFS,2022-09-05,71530,99,Sep
G-21. Topological Sort Algorithm | DFS,2022-09-05,83665,126,Sep
G-20. Find Eventual Safe States - DFS,2022-09-03,71223,179,Sep
G-19. Detect cycle in a directed graph using DFS | Java | C++,2022-08-31,73003,173,Aug
G-18. Bipartite Graph | DFS | C++ | Java,2022-08-31,47777,85,Aug
G-17. Bipartite Graph | BFS | C++ | Java,2022-08-31,70051,118,Aug
G-16. Number of Distinct Islands | Constructive Thinking + DFS | C++ | Java,2022-08-30,68499,221,Aug
G-15. Number of Enclaves | Multi-source BFS | C++ | Java,2022-08-30,50829,148,Aug
G-14. Surrounded Regions | Replace O's with X's | C++ | Java,2022-08-29,66130,180,Aug
G-13. Distance of nearest cell having 1 | 0/1 Matrix | C++ | Java,2022-08-17,89547,224,Aug
G-12. Detect a Cycle in an Undirected Graph using DFS | C++ | Java,2022-08-16,70739,133,Aug
G-11. Detect a Cycle in an Undirected Graph using BFS | C++ | Java,2022-08-15,103999,162,Aug
G-10. Rotten Oranges | C++ | Java,2022-08-13,116324,222,Aug
G-8. Number of Islands | Number of Connected Components in Matrix | C++ | Java,2022-08-11,123369,314,Aug
G-9. Flood Fill Algorithm | C++ | Java,2022-08-11,93054,194,Aug
G-7. Number of Provinces | C++ | Java | Connected Components,2022-08-10,105608,210,Aug
G-6. Depth-First Search (DFS) | C++ and Java | Traversal Technique in Graphs,2022-08-08,114894,179,Aug
G-5. Breadth-First Search (BFS) | C++ and Java | Traversal Technique in Graphs,2022-08-07,146824,250,Aug
G-4. What are Connected Components ?,2022-08-06,79231,130,Aug
G-3. Graph Representation in Java | Two Ways to Represent,2022-08-05,52791,70,Aug
G-2. Graph Representation in C++ | Two Ways to Represent,2022-08-05,103295,176,Aug
G-1. Introduction to Graph | Types | Different Conventions Used,2022-08-04,423019,392,Aug
Complete C++ STL in 1 Video | Time Complexity and Notes,2022-06-04,345830,818,Jun
DP 56. Count Square Submatrices with All Ones | DP on Rectangles 🔥,2022-05-03,51439,339,May
DP 55. Maximum Rectangle Area with all 1's | DP on Rectangles,2022-05-03,56663,94,May
DP 54. Partition Array for Maximum Sum | Front Partition 🔥,2022-05-03,43204,136,May
DP 53. Palindrome Partitioning - II | Front Partition 🔥,2022-05-03,46673,180,May
DP 52. Evaluate Boolean Expression to True | Partition DP,2022-05-03,41139,216,May
DP 51. Burst Balloons | Partition DP | Interactive G-Meet Session Update,2022-04-22,65208,223,Apr
DP 50. Minimum Cost to Cut the Stick,2022-04-19,65834,208,Apr
DP 47. Number of Longest Increasing Subsequences,2022-04-10,49171,222,Apr
DP 46. Longest Bitonic Subsequence | LIS,2022-04-09,39432,165,Apr
Codestudio Contest 16 Editorial | Live Problem Solving | Striver,2022-04-08,9252,13,Apr
DP 45. Longest String Chain | Longest Increasing Subsequence | LIS,2022-04-08,47783,158,Apr
DP 44. Largest Divisible Subset | Longest Increasing Subsequence,2022-04-08,51517,160,Apr
DP 43. Longest Increasing Subsequence | Binary Search | Intuition,2022-04-04,88700,266,Apr
DP 42. Printing Longest Increasing Subsequence | Tabulation | Algorithm,2022-04-04,95157,196,Apr
DP 41. Longest Increasing Subsequence | Memoization,2022-04-04,138312,206,Apr
Leetcode Weekly Contest 286 | Free Leetcode Premium Subscriptions Giveaway | Striver,2022-03-27,22561,21,Mar
DP 40. Buy and Sell Stocks With Transaction Fee | Recursion to Space Optimisation,2022-03-25,39311,309,Mar
DP 39. Buy and Sell Stocks With Cooldown | Recursion to Space Optimisation,2022-03-25,45997,178,Mar
DP 38. Buy and Stock Sell IV | Recursion to Space Optimisation,2022-03-25,48686,163,Mar
DP 37. Buy and Sell Stocks III | Recursion to Space Optimisation,2022-03-25,76412,342,Mar
DP 36. Buy and Sell Stock - II | Recursion to Space Optimisation,2022-03-25,102108,355,Mar
DP 35. Best Time to Buy and Sell Stock | DP on Stocks 🔥,2022-03-15,113144,262,Mar
DP 34. Wildcard Matching | Recursive to 1D Array Optimisation 🔥,2022-03-14,78820,337,Mar
Leetcode Weekly Contest 284 | Free Leetcode Premium Subscriptions Giveaway | Striver,2022-03-13,15379,16,Mar
Codestudio Contest 12 Editorial | Live Problem Solving | Striver,2022-03-12,6640,6,Mar
DP 33. Edit Distance | Recursive to 1D Array Optimised Solution 🔥,2022-03-11,87223,366,Mar
DP 32. Distinct Subsequences | 1D Array Optimisation Technique 🔥,2022-03-10,79298,445,Mar
DP 31. Shortest Common Supersequence | DP on Strings,2022-03-06,70118,285,Mar
DP 30. Minimum Insertions/Deletions to Convert String A to String B,2022-03-06,50335,235,Mar
DP 29. Minimum Insertions to Make String Palindrome,2022-03-05,77185,244,Mar
DP 28. Longest Palindromic Subsequence,2022-03-05,113922,296,Mar
DP 27. Longest Common Substring | DP on Strings 🔥,2022-03-03,94958,329,Mar
DP 26. Print Longest Common Subsequence | Dp on Strings,2022-03-02,84911,330,Mar
Dp 25. Longest Common Subsequence | Top Down | Bottom-Up | Space Optimised | DP on Strings,2022-03-01,150372,555,Mar
Leetcode Weekly Contest 282 | Free Leetcode Premium Subscriptions Giveaway | Striver,2022-02-27,15554,18,Feb
DP 49. Matrix Chain Multiplication | Bottom-Up | Tabulation,2022-02-27,43974,199,Feb
DP 48. Matrix Chain Multiplication | MCM | Partition DP Starts 🔥,2022-02-27,105047,335,Feb
Codestudio Contest 11 Editorial | Live Problem Solving | Striver,2022-02-26,7330,7,Feb
Leetcode Weekly Contest 281 | Live Problem Solving | Striver,2022-02-20,20532,22,Feb
Codestudio Contest 10 Editorial | Live Problem Solving | Striver,2022-02-19,10398,6,Feb
DP 24. Rod Cutting Problem | 1D Array Space Optimised Approach,2022-02-18,81243,447,Feb
DP 23. Unbounded Knapsack | 1-D Array Space Optimised Approach,2022-02-17,55877,337,Feb
DP 22. Coin Change 2 | Infinite Supply Problems  | DP on Subsequences,2022-02-16,89143,379,Feb
Leetcode Weekly Contest 280 | Live Problem Solving | Striver,2022-02-13,25912,28,Feb
DP 21. Target Sum | DP on Subsequences,2022-02-11,75567,389,Feb
DP 20. Minimum Coins | DP on Subsequences | Infinite Supplies Pattern,2022-02-10,101464,507,Feb
DP 19. 0/1 Knapsack | Recursion to Single Array Space Optimised Approach | DP on Subsequences,2022-02-09,122988,814,Feb
DP 18. Count Partitions With Given Difference | Dp on Subsequences,2022-02-07,92264,407,Feb
Leetcode Weekly Contest 279 | Live Problem Solving | Striver,2022-02-06,38392,34,Feb
Codestudio Contest Editorial | Live Problem Solving | Striver,2022-02-05,17014,24,Feb
DP 17. Counts Subsets with Sum K | Dp on Subsequences,2022-02-05,102150,653,Feb
take U forward Live Stream,2022-02-03,0,0,Feb
Dp 16. Partition A Set Into Two Subsets With Minimum Absolute Sum Difference | DP on Subsequences,2022-02-03,122506,772,Feb
DP 15. Partition Equal Subset Sum | DP on Subsequences,2022-02-02,99150,498,Feb
DP 14. Subset Sum Equals to Target | Identify DP on Subsequences and Ways to Solve them,2022-02-01,177935,726,Feb
DP 13. Cherry Pickup II | 3D DP Made Easy | DP On Grids,2022-01-29,111783,635,Jan
DP 12. Minimum/Maximum Falling Path Sum | Variable Starting and Ending Points | DP on Grids,2022-01-27,110150,838,Jan
DP 11. Triangle | Fixed Starting Point and Variable Ending Point | DP on GRIDS,2022-01-25,103629,668,Jan
DP 10. Minimum Path Sum in Grid | Asked to me In Microsoft Internship Interview | DP on GRIDS,2022-01-19,114846,761,Jan
DP 9. Unique Paths 2 | DP on Grid with Maze Obstacles,2022-01-19,91992,724,Jan
DP 8. Grid Unique Paths | Learn Everything about DP on Grids | ALL TECHNIQUES 🔥,2022-01-19,167406,954,Jan
DP 7. Ninja's Training | MUST WATCH for 2D CONCEPTS 🔥 | Vacation | Atcoder | 2D DP |,2022-01-14,205630,2079,Jan
DP 6. House Robber 2 | 1D DP | DP on Subsequences,2022-01-14,137955,1085,Jan
DP 5. Maximum Sum of Non-Adjacent Elements | House Robber | 1-D | DP on Subsequences,2022-01-12,200316,2657,Jan
DP 4. Frog Jump with K Distance | Lecture 3 Follow Up Question,2022-01-12,142773,1467,Jan
DP 3. Frog Jump | Dynamic Programming | Learn to write 1D DP,2022-01-10,262898,1474,Jan
DP 2. Climbing Stairs | Learn How to Write 1D Recurrence Relations,2022-01-09,235292,734,Jan
DP 1. Introduction to Dynamic Programming | Memoization | Tabulation | Space Optimization Techniques,2022-01-08,443462,2214,Jan
Striver's Dynamic Programming Series | The ULTIMATE | The BIGGEST | Teaser  #shorts,2022-01-07,638747,150,Jan
L7. All Kind of Patterns in Recursion | Print All | Print one | Count,2021-12-25,277347,435,Dec
L6. Recursion on Subsequences | Printing Subsequences,2021-12-25,298470,391,Dec
Re 5. Multiple Recursion Calls | Problems | Strivers A2Z DSA Course,2021-12-25,178398,146,Dec
Re 4. Problems on Functional Recursion | Strivers A2Z DSA Course,2021-12-25,195687,188,Dec
Re 3. Parameterised and Functional Recursion | Strivers A2Z DSA Course,2021-12-25,208509,223,Dec
Re 2. Problems on Recursion | Strivers A2Z DSA Course,2021-12-25,259489,637,Dec
Re 1. Introduction to Recursion | Recursion Tree | Stack Space | Strivers A2Z DSA Course,2021-12-25,682215,304,Dec
L7. Maximum XOR With an Element From Array | Queries | C++ | Java,2021-12-08,30033,166,Dec
L6. Maximum XOR of Two Numbers in an Array | C++ | Java,2021-12-08,43361,125,Dec
How I Got into Google Warsaw As Software Engineer | Interview EXPERIENCE | Preparation Strategies,2021-12-06,323737,483,Dec
L5. Bit PreRequisites for TRIE Problems,2021-11-29,21573,81,Nov
L4. Number of Distinct Substrings in a String | Trie | C++ | Java,2021-11-26,36706,100,Nov
L3. Longest Word With All Prefixes | Complete String | Trie,2021-11-25,38207,106,Nov
L2. Implement Trie-2 | INSERT | countWordsEqualTo() | countWordsStartingWith() | C++ | Java,2021-11-13,48810,178,Nov
L1. Implement TRIE | INSERT | SEARCH | STARTSWITH,2021-11-12,166274,285,Nov
L53. Largest BST in Binary Tree,2021-11-07,82401,256,Nov
L52. Recover BST | Correct BST with two nodes swapped,2021-11-06,64961,88,Nov
L51. Two Sum In BST | Check if there exists a pair with Sum K,2021-10-31,71661,125,Oct
L50. Binary Search Tree Iterator | BST | O(H) Space,2021-10-30,67718,115,Oct
L49. Inorder Successor/Predecessor in BST | 3 Methods,2021-10-29,69659,134,Oct
